customer_city,product_category_name_english,total_orders
bonfim paulista,bed_bath_table,4
camaqua,furniture_decor,4
nanuque,sports_leisure,4
nova andradina,furniture_decor,4
nova alvorada do sul,health_beauty,4
conchal,housewares,4
icem,health_beauty,4
colider,office_furniture,4
sao lourenco da serra,computers_accessories,4
sao luiz gonzaga,bed_bath_table,4
sao miguel dos campos,computers_accessories,4
imbituba,electronics,4
colonia jordaozinho,housewares,4
colonia castrolanda,bed_bath_table,4
sao joaquim,health_beauty,4
pedreira,computers_accessories,4
pedregulho,sports_leisure,4
morro de sao paulo,computers_accessories,4
mutum,bed_bath_table,4
cajazeiras,furniture_decor,4
cambe,bed_bath_table,4
parnaiba,stationery,4
antonio prado,computers_accessories,4
sao jose do norte,bed_bath_table,4
inhapim,sports_leisure,4
ipero,health_beauty,4
iracemapolis,sports_leisure,4
sao joao batista,sports_leisure,4
sao jeronimo,bed_bath_table,4
ipora,sports_leisure,4
itabaiana,sports_leisure,4
cidelandia,health_beauty,4
cidade gaucha,bed_bath_table,4
montenegro,bed_bath_table,4
monte siao,furniture_decor,4
monte carmelo,health_beauty,4
monte belo,furniture_decor,4
pauliceia,bed_bath_table,4
pedrinopolis,sports_leisure,4
sao gabriel da palha,health_beauty,4
sao gabriel,health_beauty,4
araquari,health_beauty,4
sao francisco do sul,watches_gifts,4
sao francisco de itabapoana,bed_bath_table,4
charqueadas,health_beauty,4
itajuipe,furniture_decor,4
santos dumont,furniture_decor,4
itapetinga,watches_gifts,4
santo antonio de posse,bed_bath_table,4
santo antonio da platina,furniture_decor,4
araripina,toys,4
armacao dos buzios,sports_leisure,4
itaqui,computers_accessories,4
santa rita do passa quatro,telephony,4
santo amaro da imperatriz,computers_accessories,4
areias,office_furniture,4
jacobina,electronics,4
cassilandia,sports_leisure,4
santa ines,garden_tools,4
caucaia,health_beauty,4
castilho,electronics,4
salto do lontra,bed_bath_table,4
pitangueiras,bed_bath_table,4
pires do rio,bed_bath_table,4
matias barbosa,auto,4
pirajui,garden_tools,4
boa esperanca,auto,4
salto de pirapora,housewares,4
salgueiro,health_beauty,4
castanhal,sports_leisure,4
joacaba,health_beauty,4
jose bonifacio,bed_bath_table,4
salesopolis,watches_gifts,4
carlos barbosa,computers_accessories,4
jumirim,bed_bath_table,4
juina,telephony,4
carangola,baby,4
cangucu,garden_tools,4
maracana,sports_leisure,4
maracaju,furniture_decor,4
mariana,luggage_accessories,4
marmeleiro,furniture_decor,4
campo formoso,health_beauty,4
pirapora do bom jesus,health_beauty,4
carmo do paranaiba,health_beauty,4
bariri,housewares,4
rio paranaiba,perfumery,4
baixo guandu,health_beauty,4
baependi,computers_accessories,4
barao de cocais,cool_stuff,4
leopoldina,sports_leisure,4
carandai,computers_accessories,4
bambui,bed_bath_table,4
balsamo,bed_bath_table,4
quata,computers_accessories,4
mamanguape,office_furniture,4
marechal candido rondon,bed_bath_table,4
marataizes,sports_leisure,4
porciuncula,computers_accessories,4
quixada,health_beauty,4
quatro barras,sports_leisure,4
barra de sao joao,bed_bath_table,4
barrinha,bed_bath_table,4
luziania,books_general_interest,4
machado,health_beauty,4
mairinque,bed_bath_table,4
vitoria de santo antao,health_beauty,4
xanxere,air_conditioning,4
cunha,bed_bath_table,4
descalvado,computers_accessories,4
curralinho,health_beauty,4
vera cruz,sports_leisure,4
venda nova do imigrante,bed_bath_table,4
pains,home_construction,4
brodowski,bed_bath_table,4
buritizeiro,auto,4
dias d'avila,telephony,4
diamantina,bed_bath_table,4
dois irmaos,sports_leisure,4
dois corregos,computers_accessories,4
visconde do rio branco,bed_bath_table,4
virginopolis,bed_bath_table,4
abaete,watches_gifts,3
visconde de maua,bed_bath_table,3
dianopolis,toys,3
delfinopolis,garden_tools,3
delmiro gouveia,sports_leisure,3
acreuna,small_appliances,3
cabo de santo agostinho,electronics,3
caconde,bed_bath_table,3
nucleo residencial pilar,furniture_decor,3
osvaldo cruz,construction_tools_construction,3
ourilandia do norte,telephony,3
paicandu,auto,3
pacuja,office_furniture,3
pacajus,bed_bath_table,3
ouvidor,furniture_decor,3
ouroeste,garden_tools,3
urania,sports_leisure,3
valente,sports_leisure,3
alpinopolis,watches_gifts,3
tupancireta,health_beauty,3
agudos,telephony,3
ubata,construction_tools_construction,3
raposo,stationery,3
barbosa ferraz,sports_leisure,3
loanda,garden_tools,3
limoeiro do norte,baby,3
luis antonio,furniture_decor,3
lucianopolis,watches_gifts,3
primavera do leste,auto,3
primavera,bed_bath_table,3
queimadas,watches_gifts,3
quatis,bed_bath_table,3
barroso,auto,3
porto real,bed_bath_table,3
pradopolis,computers_accessories,3
potirendaba,health_beauty,3
presidente olegario,telephony,3
presidente dutra,watches_gifts,3
barra da estiva,bed_bath_table,3
bastos,furniture_decor,3
benedito novo,christmas_supplies,3
portao,electronics,3
posse,cool_stuff,3
porto xavier,computers_accessories,3
mangaratiba,electronics,3
maraba,bed_bath_table,3
mar de espanha,computers_accessories,3
manhumirim,sports_leisure,3
pompeu,garden_tools,3
pomerode,computers_accessories,3
porecatu,stationery,3
quixabeira,garden_tools,3
quirinopolis,construction_tools_construction,3
reboucas,telephony,3
bandeirantes,housewares,3
carmo do cajuru,sports_leisure,3
carmo,bed_bath_table,3
juatuba,musical_instruments,3
junqueiropolis,musical_instruments,3
lagoa da prata,bed_bath_table,3
lagoa vermelha,bed_bath_table,3
cardoso moreira,health_beauty,3
lagoa dos gatos,health_beauty,3
lambari,furniture_decor,3
lajedo,health_beauty,3
ribeirao do pinhal,bed_bath_table,3
rio branco do sul,sports_leisure,3
rio bonito,furniture_decor,3
bananal,furniture_decor,3
balsas,furniture_living_room,3
joao pinheiro,furniture_decor,3
jucurutu,cool_stuff,3
carazinho,watches_gifts,3
porangatu,telephony,3
belmonte,garden_tools,3
bilac,home_construction,3
biguacu,bed_bath_table,3
bicas,bed_bath_table,3
canela,garden_tools,3
martinopolis,computers_accessories,3
pirapozinho,auto,3
piranguinho,furniture_decor,3
barra bonita,auto,3
rio pardo,sports_leisure,3
rio novo,health_beauty,3
rio negro,telephony,3
santa gertrudes,costruction_tools_garden,3
castelo,watches_gifts,3
japura,furniture_decor,3
jequitinhonha,computers_accessories,3
joanopolis,sports_leisure,3
ji-parana,furniture_decor,3
jose boiteux,bed_bath_table,3
joaquim tavora,bed_bath_table,3
bandeira do sul,bed_bath_table,3
rondon do para,computers_accessories,3
rolim de moura,telephony,3
sales oliveira,computers_accessories,3
sales,sports_leisure,3
balneario pinhal,health_beauty,3
ruy barbosa,computers_accessories,3
russas,health_beauty,3
castelo do piaui,furniture_decor,3
rubiataba,bed_bath_table,3
piranga,furniture_decor,3
pitangui,housewares,3
pitanga,bed_bath_table,3
mata verde,computers_accessories,3
matupa,bed_bath_table,3
matozinhos,sports_leisure,3
mato verde,garden_tools,3
campinas do sul,furniture_decor,3
bocaina,perfumery,3
pirai do sul,housewares,3
boa esperanca do sul,auto,3
saltinho,bed_bath_table,3
santa adelia,telephony,3
sanharo,health_beauty,3
arroio do sal,pet_shop,3
ituacu,garden_tools,3
itobi,health_beauty,3
jacare,bed_bath_table,3
casimiro de abreu,bed_bath_table,3
santa cruz do capibaribe,health_beauty,3
santa rita,health_beauty,3
santa maria madalena,watches_gifts,3
arneiroz,health_beauty,3
astolfo dutra,bed_bath_table,3
santa maria da vitoria,health_beauty,3
jaguariaiva,toys,3
jaguare,bed_bath_table,3
jaguarao,computers_accessories,3
januaria,office_furniture,3
jarinu,bed_bath_table,3
caxias,sports_leisure,3
arroio do meio,telephony,3
santana do paraiso,garden_tools,3
santo antonio de jesus,bed_bath_table,3
santo antonio da patrulha,sports_leisure,3
santo antonio do monte,pet_shop,3
itaporanga,computers_accessories,3
itatiaia,bed_bath_table,3
itarantim,sports_leisure,3
itarana,office_furniture,3
ituporanga,cool_stuff,3
santa teresa,watches_gifts,3
santa rosa de viterbo,housewares,3
santa vitoria,cool_stuff,3
santana dos montes,computers_accessories,3
arealva,furniture_decor,3
medianeira,housewares,3
miracema,health_beauty,3
miracatu,auto,3
itaju,furniture_decor,3
santo antonio do jacinto,electronics,3
sao benedito,furniture_decor,3
santo estevao,garden_tools,3
sao francisco,bed_bath_table,3
sao fidelis,furniture_decor,3
sao felix do xingu,housewares,3
arcos,bed_bath_table,3
itapecerica,health_beauty,3
itaocara,watches_gifts,3
itapiranga,housewares,3
itapipoca,sports_leisure,3
cedral,health_beauty,3
itamaraju,baby,3
chapadao do lageado,cool_stuff,3
italva,sports_leisure,3
bom jardim,bed_bath_table,3
piracanjuba,bed_bath_table,3
perdigao,bed_bath_table,3
penha,consoles_games,3
picarra,health_beauty,3
piata,telephony,3
petrolandia,housewares,3
piedade de caratinga,furniture_decor,3
piedade,computers_accessories,3
pinheiral,cool_stuff,3
bofete,bed_bath_table,3
bocaiuva,sports_leisure,3
mendes,bed_bath_table,3
mimoso do sul,bed_bath_table,3
mirassol d'oeste,furniture_decor,3
miranda,sports_leisure,3
mirai,cool_stuff,3
campanha,furniture_decor,3
campo belo,auto,3
montanha,baby,3
monte santo de minas,auto,3
camamu,health_beauty,3
sao gabriel do oeste,sports_leisure,3
aracuai,sports_leisure,3
ararangua,cool_stuff,3
araputanga,garden_tools,3
itamonte,bed_bath_table,3
itambacuri,health_beauty,3
